p_slowdown,v_max,critical_density
0.0,1,0.5510204081632653
0.05263157894736842,1,0.5306122448979591
0.10526315789473684,1,0.4897959183673469
0.15789473684210525,1,0.5102040816326531
0.21052631578947367,1,0.5918367346938775
0.2631578947368421,1,0.5102040816326531
0.3157894736842105,1,0.5102040816326531
0.3684210526315789,1,0.4897959183673469
0.42105263157894735,1,0.5102040816326531
0.47368421052631576,1,0.5510204081632653
0.5263157894736842,1,0.5306122448979591
0.5789473684210527,1,0.4897959183673469
0.631578947368421,1,0.5102040816326531
0.6842105263157894,1,0.5102040816326531
0.7368421052631579,1,0.5306122448979591
0.7894736842105263,1,0.5510204081632653
0.8421052631578947,1,0.5102040816326531
0.894736842105263,1,0.4897959183673469
0.9473684210526315,1,0.5102040816326531
1.0,1,0.0
0.0,2,0.5102040816326531
0.05263157894736842,2,0.4897959183673469
0.10526315789473684,2,0.4693877551020408
0.15789473684210525,2,0.42857142857142855
0.21052631578947367,2,0.4897959183673469
0.2631578947368421,2,0.42857142857142855
0.3157894736842105,2,0.4081632653061224
0.3684210526315789,2,0.36734693877551017
0.42105263157894735,2,0.44897959183673464
0.47368421052631576,2,0.3469387755102041
0.5263157894736842,2,0.36734693877551017
0.5789473684210527,2,0.24489795918367346
0.631578947368421,2,0.3061224489795918
0.6842105263157894,2,0.32653061224489793
0.7368421052631579,2,0.26530612244897955
0.7894736842105263,2,0.22448979591836732
0.8421052631578947,2,0.24489795918367346
0.894736842105263,2,0.14285714285714285
0.9473684210526315,2,0.08163265306122448
1.0,2,0.061224489795918366
0.0,3,0.4897959183673469
0.05263157894736842,3,0.44897959183673464
0.10526315789473684,3,0.4693877551020408
0.15789473684210525,3,0.42857142857142855
0.21052631578947367,3,0.4081632653061224
0.2631578947368421,3,0.4081632653061224
0.3157894736842105,3,0.3877551020408163
0.3684210526315789,3,0.3469387755102041
0.42105263157894735,3,0.32653061224489793
0.47368421052631576,3,0.3061224489795918
0.5263157894736842,3,0.32653061224489793
0.5789473684210527,3,0.2857142857142857
0.631578947368421,3,0.2857142857142857
0.6842105263157894,3,0.2857142857142857
0.7368421052631579,3,0.26530612244897955
0.7894736842105263,3,0.3061224489795918
0.8421052631578947,3,0.2040816326530612
0.894736842105263,3,0.1020408163265306
0.9473684210526315,3,0.12244897959183673
1.0,3,0.04081632653061224
0.0,4,0.5102040816326531
0.05263157894736842,4,0.4693877551020408
0.10526315789473684,4,0.4693877551020408
0.15789473684210525,4,0.44897959183673464
0.21052631578947367,4,0.3877551020408163
0.2631578947368421,4,0.44897959183673464
0.3157894736842105,4,0.44897959183673464
0.3684210526315789,4,0.36734693877551017
0.42105263157894735,4,0.3469387755102041
0.47368421052631576,4,0.3877551020408163
0.5263157894736842,4,0.32653061224489793
0.5789473684210527,4,0.3469387755102041
0.631578947368421,4,0.2857142857142857
0.6842105263157894,4,0.2857142857142857
0.7368421052631579,4,0.22448979591836732
0.7894736842105263,4,0.24489795918367346
0.8421052631578947,4,0.24489795918367346
0.894736842105263,4,0.12244897959183673
0.9473684210526315,4,0.12244897959183673
1.0,4,0.061224489795918366
0.0,5,0.4897959183673469
0.05263157894736842,5,0.4693877551020408
0.10526315789473684,5,0.44897959183673464
0.15789473684210525,5,0.3877551020408163
0.21052631578947367,5,0.36734693877551017
0.2631578947368421,5,0.44897959183673464
0.3157894736842105,5,0.36734693877551017
0.3684210526315789,5,0.44897959183673464
0.42105263157894735,5,0.3877551020408163
0.47368421052631576,5,0.32653061224489793
0.5263157894736842,5,0.3061224489795918
0.5789473684210527,5,0.32653061224489793
0.631578947368421,5,0.24489795918367346
0.6842105263157894,5,0.2857142857142857
0.7368421052631579,5,0.24489795918367346
0.7894736842105263,5,0.22448979591836732
0.8421052631578947,5,0.22448979591836732
0.894736842105263,5,0.16326530612244897
0.9473684210526315,5,0.14285714285714285
1.0,5,0.061224489795918366
