p_slowdown,v_max,critical_density
0.0,1,[0.4482758620689655]
0.034482758620689655,1,[0.5172413793103449]
0.06896551724137931,1,[0.41379310344827586]
0.10344827586206896,1,[0.3448275862068966]
0.13793103448275862,1,[0.5862068965517241]
0.1724137931034483,1,[0.6551724137931034]
0.20689655172413793,1,[0.6896551724137931]
0.24137931034482757,1,[0.6206896551724138]
0.27586206896551724,1,[0.7931034482758621]
0.3103448275862069,1,[0.1724137931034483]
0.3448275862068966,1,[0.13793103448275862]
0.3793103448275862,1,[0.5862068965517241]
0.41379310344827586,1,[0.41379310344827586]
0.4482758620689655,1,[0.7586206896551724]
0.48275862068965514,1,[0.6896551724137931]
0.5172413793103449,1,[0.5172413793103449]
0.5517241379310345,1,[0.13793103448275862]
0.5862068965517241,1,[0.6206896551724138]
0.6206896551724138,1,[0.7931034482758621]
0.6551724137931034,1,[0.5862068965517241]
0.6896551724137931,1,[0.3448275862068966]
0.7241379310344828,1,[0.3793103448275862]
0.7586206896551724,1,[0.41379310344827586]
0.7931034482758621,1,[0.1724137931034483]
0.8275862068965517,1,[0.4482758620689655]
0.8620689655172413,1,[0.6206896551724138]
0.896551724137931,1,[0.41379310344827586]
0.9310344827586207,1,[0.5862068965517241]
0.9655172413793103,1,[0.06896551724137931]
1.0,1,[0.0]
0.0,2,[0.4482758620689655]
0.034482758620689655,2,[0.3448275862068966]
0.06896551724137931,2,[0.5172413793103449]
0.10344827586206896,2,[0.3103448275862069]
0.13793103448275862,2,[0.48275862068965514]
0.1724137931034483,2,[0.06896551724137931]
0.20689655172413793,2,[0.41379310344827586]
0.24137931034482757,2,[0.7241379310344828]
0.27586206896551724,2,[0.48275862068965514]
0.3103448275862069,2,[0.3448275862068966]
0.3448275862068966,2,[0.5517241379310345]
0.3793103448275862,2,[0.3448275862068966]
0.41379310344827586,2,[0.13793103448275862]
0.4482758620689655,2,[0.41379310344827586]
0.48275862068965514,2,[0.3793103448275862]
0.5172413793103449,2,[0.5862068965517241]
0.5517241379310345,2,[0.13793103448275862]
0.5862068965517241,2,[0.20689655172413793]
0.6206896551724138,2,[0.13793103448275862]
0.6551724137931034,2,[0.6206896551724138]
0.6896551724137931,2,[0.24137931034482757]
0.7241379310344828,2,[0.3448275862068966]
0.7586206896551724,2,[0.10344827586206896]
0.7931034482758621,2,[0.3448275862068966]
0.8275862068965517,2,[0.48275862068965514]
0.8620689655172413,2,[0.3448275862068966]
0.896551724137931,2,[0.48275862068965514]
0.9310344827586207,2,[0.20689655172413793]
0.9655172413793103,2,[0.20689655172413793]
1.0,2,[0.10344827586206896]
0.0,3,[0.27586206896551724]
0.034482758620689655,3,[0.10344827586206896]
0.06896551724137931,3,[0.06896551724137931]
0.10344827586206896,3,[0.27586206896551724]
0.13793103448275862,3,[0.24137931034482757]
0.1724137931034483,3,[0.24137931034482757]
0.20689655172413793,3,[0.3793103448275862]
0.24137931034482757,3,[0.41379310344827586]
0.27586206896551724,3,[0.5172413793103449]
0.3103448275862069,3,[0.24137931034482757]
0.3448275862068966,3,[0.06896551724137931]
0.3793103448275862,3,[0.24137931034482757]
0.41379310344827586,3,[0.41379310344827586]
0.4482758620689655,3,[0.06896551724137931]
0.48275862068965514,3,[0.20689655172413793]
0.5172413793103449,3,[0.20689655172413793]
0.5517241379310345,3,[0.1724137931034483]
0.5862068965517241,3,[0.20689655172413793]
0.6206896551724138,3,[0.3103448275862069]
0.6551724137931034,3,[0.13793103448275862]
0.6896551724137931,3,[0.5172413793103449]
0.7241379310344828,3,[0.5172413793103449]
0.7586206896551724,3,[0.10344827586206896]
0.7931034482758621,3,[0.13793103448275862]
0.8275862068965517,3,[0.3793103448275862]
0.8620689655172413,3,[0.20689655172413793]
0.896551724137931,3,[0.3793103448275862]
0.9310344827586207,3,[0.24137931034482757]
0.9655172413793103,3,[0.034482758620689655]
1.0,3,[0.20689655172413793]
0.0,4,[0.1724137931034483]
0.034482758620689655,4,[0.3103448275862069]
0.06896551724137931,4,[0.20689655172413793]
0.10344827586206896,4,[0.3103448275862069]
0.13793103448275862,4,[0.3103448275862069]
0.1724137931034483,4,[0.24137931034482757]
0.20689655172413793,4,[0.24137931034482757]
0.24137931034482757,4,[0.1724137931034483]
0.27586206896551724,4,[0.27586206896551724]
0.3103448275862069,4,[0.3103448275862069]
0.3448275862068966,4,[0.24137931034482757]
0.3793103448275862,4,[0.1724137931034483]
0.41379310344827586,4,[0.10344827586206896]
